0,1
2018-07-30,0.0
2018-07-31,0.0
2018-08-01,0.0
2018-08-02,0.0
2018-08-03,0.0
2018-08-06,0.0
2018-08-07,0.0
2018-08-08,7011.770770000196
2018-08-09,21244.574209999813
2018-08-10,12790.934879999448
2018-08-13,14016.28285999985
2018-08-14,22148.990642500085
2018-08-15,10691.510892499638
2018-08-16,6140.476892499792
2018-08-17,21343.82719250008
2018-08-20,33414.6011425
2018-08-21,22751.706142500316
2018-08-22,12525.142642500628
2018-08-23,9033.015142500939
2018-08-24,21230.130940001225
2018-08-27,17078.673315000993
2018-08-28,24950.432815000993
2018-08-29,19228.090350001083
2018-08-30,23783.0998300012
2018-08-31,3906.4440800012017
2018-09-03,-14750.435169998796
2018-09-04,18417.097470001783
2018-09-05,20357.3528700017
2018-09-06,29179.5040500014
2018-09-07,28419.366060001154
2018-09-10,22033.50400750128
2018-09-11,-11014.470992498565
2018-09-12,-12911.576242498257
2018-09-13,9284.022007502052
2018-09-14,10979.358440002365
2018-09-17,11408.30572250252
2018-09-18,395.37543250279487
2018-09-19,-5083.545567497205
2018-09-20,28457.91518250238
2018-09-21,38187.57107000254
2018-09-25,38187.57107000254
2018-09-26,38187.57107000254
2018-09-27,41472.85081500254
2018-09-28,32133.705007502882
2018-10-08,61862.9349100026
2018-10-09,77805.90454250237
2018-10-10,58761.3512525024
2018-10-11,19130.23300250272
2018-10-12,86998.00826000293
2018-10-15,115426.40496000343
2018-10-16,115916.70041000366
2018-10-17,125050.61741000366
2018-10-18,134580.75602250342
2018-10-19,139578.0281675032
2018-10-22,142706.8121800032
2018-10-23,155752.72201000297
2018-10-24,157404.03641250316
2018-10-25,169715.65677750265
2018-10-26,150935.75952750296
2018-10-29,139950.90027750327
2018-10-30,126215.31902750359
2018-10-31,120920.0382775039
2018-11-01,110213.79977750422
2018-11-02,133666.31502750452
2018-11-05,145602.45767750492
2018-11-06,156359.4134650047
2018-11-07,162076.40854500514
2018-11-08,165554.7002550053
2018-11-09,167352.32818000548
2018-11-12,161926.17788000515
2018-11-13,184337.73586000467
2018-11-14,184744.93211500472
2018-11-15,195890.57019500472
2018-11-16,209217.3615350046
2018-11-19,219344.41034000518
2018-11-20,211515.51084000486
2018-11-21,215218.26859000456
2018-11-22,211384.94096000434
2018-11-23,227057.72837500385
2018-11-26,227057.72837500385
2018-11-27,234844.32469000385
2018-11-28,261728.7359600037
2018-11-29,252406.96216000392
2018-11-30,267325.97053500405
2018-12-03,297873.1341250039
