Date: 20190221, day_night: 1, strategy: None

serial_no: 140000000100, symbol: pb1905, ord_price: 16790.0, ord_volume: 4, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: f, msg_type: [cancel_request]
serial_no: 140000000100, symbol: pb1905, ord_price: 16790.0, ord_volume: 4, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 16790.000000, trd_volume: 0, entrust_status: d, msg_type: [cancel_response]
serial_no: 160000000100, symbol: pb1905, ord_price: 16800.0, ord_volume: 4, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: s, msg_type: [order_request]
serial_no: 160000000100, symbol: pb1905, ord_price: 16800.0, ord_volume: 4, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: a, msg_type: [order_response]
serial_no: 160000000100, symbol: pb1905, ord_price: 16800.0, ord_volume: 4, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 16800.000000, trd_volume: 1, entrust_status: p, msg_type: [trade_rtn]
serial_no: 160000000100, symbol: pb1905, ord_price: 16800.0, ord_volume: 4, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: f, msg_type: [cancel_request]
serial_no: 160000000100, symbol: pb1905, ord_price: 16800.0, ord_volume: 4, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 16800.000000, trd_volume: 0, entrust_status: d, msg_type: [cancel_response]
serial_no: 180000000100, symbol: pb1905, ord_price: 16810.0, ord_volume: 3, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: s, msg_type: [order_request]
serial_no: 180000000100, symbol: pb1905, ord_price: 16810.0, ord_volume: 3, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: a, msg_type: [order_response]
serial_no: 180000000100, symbol: pb1905, ord_price: 16810.0, ord_volume: 3, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: f, msg_type: [cancel_request]
serial_no: 180000000100, symbol: pb1905, ord_price: 16810.0, ord_volume: 3, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 16810.000000, trd_volume: 0, entrust_status: d, msg_type: [cancel_response]
serial_no: 200000000100, symbol: pb1905, ord_price: 16820.0, ord_volume: 3, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: s, msg_type: [order_request]
serial_no: 200000000100, symbol: pb1905, ord_price: 16820.0, ord_volume: 3, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: a, msg_type: [order_response]
serial_no: 200000000100, symbol: pb1905, ord_price: 16820.0, ord_volume: 3, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 16820.000000, trd_volume: 1, entrust_status: p, msg_type: [trade_rtn]
serial_no: 200000000100, symbol: pb1905, ord_price: 16820.0, ord_volume: 3, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 16820.000000, trd_volume: 2, entrust_status: c, msg_type: [trade_rtn]
serial_no: 210000000100, symbol: PB3M, ord_price: 2028.5, ord_volume: 1, open_close: 1, direction: 0, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: s, msg_type: [order_request]
serial_no: 210000000100, symbol: PB3M, ord_price: 2028.5, ord_volume: 1, open_close: 1, direction: 0, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: a, msg_type: [order_response]
serial_no: 210000000100, symbol: PB3M, ord_price: 2028.5, ord_volume: 1, open_close: 1, direction: 0, order_type: 0, investor_type: 0, trd_price: 2028.500000, trd_volume: 1, entrust_status: c, msg_type: [trade_rtn]
serial_no: 220000000100, symbol: pb1905, ord_price: 16825.0, ord_volume: 4, open_close: 1, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: s, msg_type: [order_request]
serial_no: 220000000100, symbol: pb1905, ord_price: 16825.0, ord_volume: 4, open_close: 1, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: a, msg_type: [order_response]
serial_no: 220000000100, symbol: pb1905, ord_price: 16825.0, ord_volume: 4, open_close: 1, direction: 1, order_type: 0, investor_type: 0, trd_price: 16825.000000, trd_volume: 1, entrust_status: p, msg_type: [trade_rtn]
serial_no: 220000000100, symbol: pb1905, ord_price: 16825.0, ord_volume: 4, open_close: 1, direction: 1, order_type: 0, investor_type: 0, trd_price: 16825.000000, trd_volume: 2, entrust_status: p, msg_type: [trade_rtn]
serial_no: 220000000100, symbol: pb1905, ord_price: 16825.0, ord_volume: 4, open_close: 1, direction: 1, order_type: 0, investor_type: 0, trd_price: 16825.000000, trd_volume: 1, entrust_status: c, msg_type: [trade_rtn]
serial_no: 230000000100, symbol: PB3M, ord_price: 2035.5, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: s, msg_type: [order_request]
serial_no: 230000000100, symbol: PB3M, ord_price: 2035.5, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: a, msg_type: [order_response]
serial_no: 230000000100, symbol: PB3M, ord_price: 2035.5, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: f, msg_type: [cancel_request]
serial_no: 230000000100, symbol: PB3M, ord_price: 2035.5, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 2035.500000, trd_volume: 0, entrust_status: d, msg_type: [cancel_response]
serial_no: 250000000100, symbol: PB3M, ord_price: 2035.0, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: s, msg_type: [order_request]
serial_no: 250000000100, symbol: PB3M, ord_price: 2035.0, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: a, msg_type: [order_response]
serial_no: 250000000100, symbol: PB3M, ord_price: 2035.0, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: f, msg_type: [cancel_request]
serial_no: 250000000100, symbol: PB3M, ord_price: 2035.0, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 2035.000000, trd_volume: 0, entrust_status: d, msg_type: [cancel_response]
serial_no: 270000000100, symbol: PB3M, ord_price: 2030.0, ord_volume: 1, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: s, msg_type: [order_request]
serial_no: 270000000100, symbol: PB3M, ord_price: 2030.0, ord_volume: 1, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: a, msg_type: [order_response]
serial_no: 270000000100, symbol: PB3M, ord_price: 2030.0, ord_volume: 1, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: f, msg_type: [cancel_request]
serial_no: 270000000100, symbol: PB3M, ord_price: 2030.0, ord_volume: 1, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 2030.000000, trd_volume: 0, entrust_status: d, msg_type: [cancel_response]
serial_no: 290000000100, symbol: PB3M, ord_price: 2030.5, ord_volume: 1, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: s, msg_type: [order_request]
serial_no: 290000000100, symbol: PB3M, ord_price: 2030.5, ord_volume: 1, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: a, msg_type: [order_response]
serial_no: 290000000100, symbol: PB3M, ord_price: 2030.5, ord_volume: 1, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: f, msg_type: [cancel_request]
serial_no: 290000000100, symbol: PB3M, ord_price: 2030.5, ord_volume: 1, open_close: 0, direction: 0, order_type: 0, investor_type: 0, trd_price: 2030.500000, trd_volume: 0, entrust_status: d, msg_type: [cancel_response]
serial_no: 310000000100, symbol: PB3M, ord_price: 2034.5, ord_volume: 1, open_close: 0, direction: 1, order_type: 0, investor_type: 0, trd_price: 0.000000, trd_volume: 0, entrust_status: s, msg_type: [order_request]
