Date,context.product_china_bid,context.product_china_ask,context.product_abroad_bid,context.product_abroad_ask,product_currency_bid,product_currency_ask,product_arbitrage_price_bid,product_arbitrage_price_ask,product_arbitrage_price
2019.02.21D24:28:04.000,16810,16820,2039.0,2040.0,6.5007997917175295,6.500899791717528,-1041.8692246879582,-1026.6644248962402,-1034.2668497920986
2019.02.21D24:29:00.500,16810,16820,2037.5,2038.5,6.500649588012696,6.500749588012695,-1051.9264644241318,-1036.7219648361206,-1044.3242396301266
2019.02.21D24:30:00.500,16810,16820,2037.0,2038.5,6.500500099563599,6.500600099563599,-1055.4812971889496,-1037.0266970396042,-1046.254034614276
2019.02.21D24:31:10.500,16810,16820,2037.5,2038.5,6.499749796295166,6.499849796295166,-1053.759790048598,-1038.5561902523038,-1046.158015150451
2019.02.21D24:32:12.000,16810,16820,2037.5,2038.5,6.500500099563599,6.500600099563599,-1052.2310471391663,-1037.0266970396042,-1044.6288970893856
2019.02.21D24:33:03.000,16810,16820,2039.0,2040.0,6.500500099563599,6.500600099563599,-1042.4802969898226,-1027.2757968902588,-1034.8780719400402
2019.02.21D24:34:09.000,16810,16820,2039.0,2040.0,6.500199692153932,6.5002996921539316,-1043.0928276981356,-1027.8886280059814,-1035.490752852058
2019.02.21D24:35:02.000,16810,16820,2039.0,2040.0,6.500349180603028,6.500449180603027,-1042.7880207504274,-1027.5836715698242,-1035.1858711601253
2019.02.21D24:36:15.500,16810,16820,2039.0,2039.5,6.5004993843078624,6.500599384307861,-1042.4817553962712,-1030.5275557041168,-1036.5046680501928
2019.02.21D24:37:12.000,16810,16820,2039.0,2040.0,6.500649588012696,6.500749588012695,-1042.1754900421147,-1026.9708404541016,-1034.5731902481075
2019.02.21D24:38:13.000,16810,16820,2039.5,2040.0,6.501250402832032,6.501350402832031,-1037.6998034240714,-1025.7451782226562,-1031.7225033233644
2019.02.21D24:39:01.000,16810,16820,2041.5,2042.0,6.5004993843078624,6.500599384307861,-1026.230506935501,-1014.2760572433473,-1020.2532945894237
2019.02.21D24:40:07.500,16810,16820,2040.0,2042.0,6.5007997917175295,6.500899791717528,-1035.3684248962402,-1013.6626253128052,-1024.5155751045222
2019.02.21D24:41:00.000,16810,16820,2040.0,2042.0,6.500650303268433,6.500750303268433,-1035.6733813323974,-1013.9678807258606,-1024.8206810291283
2019.02.21D24:42:01.500,16810,16820,2039.0,2041.5,6.500349895858765,6.500449895858765,-1042.786562343979,-1017.831537604332,-1030.309112474155
2019.02.21D24:43:44.500,16810,16820,2038.0,2039.0,6.500350611114503,6.500450611114503,-1049.2854545486443,-1034.0812039375303,-1041.6833542430868
2019.02.21D24:44:04.500,16810,16820,2037.0,2038.5,6.501399891281128,6.501499891281128,-1053.6484214603424,-1035.1924716234207,-1044.4204840418806
2019.02.21D24:45:50.000,16810,16820,2038.0,2039.0,6.500650303268433,6.500750303268433,-1048.6746819389336,-1033.4701316356661,-1041.0724317872991
2019.02.21D24:46:00.500,16810,16820,2036.5,2037.0,6.5007997917175295,6.500899791717528,-1058.121224167251,-1046.1671242713928,-1052.1441867193223
2019.02.21D24:47:05.500,16810,16820,2038.0,2039.0,6.500650303268433,6.500750303268433,-1048.6746819389336,-1033.4701316356661,-1041.0724317872991
2019.02.21D24:48:00.000,16800,16820,2038.0,2039.0,6.5007997917175295,6.500899791717528,-1048.3700244796746,-1024.6653246879578,-1036.5176995838156
2019.02.21D24:49:13.500,16810,16820,2038.0,2039.0,6.500199692153932,6.5002996921539316,-1049.5930273902886,-1034.3889276981354,-1041.9910025442114
2019.02.21D24:50:21.500,16810,16820,2038.5,2039.5,6.4999,6.5,-1046.95385,-1031.75,-1039.3519500000002
2019.02.21D24:51:33.500,16810,16820,2038.5,2039.0,6.4999,6.5,-1046.95385,-1035.0,-1040.9769374999996
2019.02.21D24:52:00.500,16810,16820,2038.0,2038.5,6.4999,6.5,-1050.2037999999993,-1038.25,-1044.2269125000003
2019.02.21D24:53:10.000,16810,16820,2038.5,2039.5,6.499299185180664,6.499399185180664,-1048.1786110092164,-1032.9753618240356,-1040.5770114166262
2019.02.21D24:54:01.000,16810,16820,2038.5,2039.5,6.499149696731568,6.499249696731567,-1048.4833432126998,-1033.2802435159683,-1040.8818183643343
2019.02.21D24:55:00.000,16820,16830,2042.0,2043.5,6.4992999004364025,6.499399900436401,-1033.9296033088683,-1015.4763034582138,-1024.7029908835414
2019.02.21D24:56:00.500,16810,16830,2041.0,2042.0,6.498850004577638,6.498950004577638,-1041.3471406570425,-1017.6440906524658,-1029.4956406547535
2019.02.21D24:57:00.500,16810,16830,2041.5,2042.5,6.4982499050140365,6.498349905014037,-1039.3228189138408,-1015.6203190088272,-1027.4715939613343
2019.02.21D24:58:00.500,16810,16830,2041.5,2042.5,6.4982499050140365,6.498349905014037,-1039.3228189138408,-1015.6203190088272,-1027.4715939613343
2019.02.21D24:59:00.500,16820,16830,2043.0,2043.5,6.499149696731568,6.499249696731567,-1027.7371695774073,-1015.783244729042,-1021.7602196532243
